,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,corrected_lons,long_rad,lat_rad,ocean_depth
87,2014-04-01T23:46:47.260Z,-19.6097,-70.7691,25.0,8.2,mww,,23.0,0.609,0.66,us,usc000nzvd,2022-12-26T02:21:00.248Z,"93 km NW of Iquique, Chile",earthquake,,1.8,,,reviewed,us,us,289.2309,5.048031503506468,-0.342253830328332,2385.608642578125
88,2013-10-25T17:10:19.710Z,37.1557,144.6611,35.0,7.1,mww,,10.0,3.968,1.01,us,usc000kn4n,2022-08-06T18:34:02.167Z,"off the east coast of Honshu, Japan",earthquake,,1.8,,,reviewed,us,us,144.6611,2.524812494556769,0.6484893008832572,5652.14892578125
90,2013-09-25T16:42:43.170Z,-15.8385,-74.5112,40.0,7.1,mww,,17.0,4.446,0.9,us,usb000jzma,2022-08-06T17:58:24.998Z,"16 km WSW of Atiquipa, Peru",earthquake,,1.8,,,reviewed,us,us,285.48879999999997,4.982719537567586,-0.2764339735771219,1446.7969970703125
91,2013-08-30T16:25:02.300Z,51.537,-175.2297,29.0,7.0,mww,,53.0,0.624,0.89,us,usb000jdt7,2022-07-25T21:26:36.095Z,"101 km SW of Atka, Alaska",earthquake,,1.8,,,reviewed,us,us,184.7703,3.2248500948976786,0.8994903366003176,1180.8421630859375
92,2013-07-07T18:35:30.740Z,-3.917,153.927,385.5,7.3,mww,117.0,24.0,,0.88,us,usb000i89z,2022-05-03T16:22:52.308Z,"190 km ENE of Kokopo, Papua New Guinea",earthquake,,4.0,,,reviewed,us,us,153.927,2.6865329577173114,-0.06836454680061789,2022.99169921875
94,2013-04-19T03:05:52.650Z,46.221,150.788,110.0,7.2,mww,770.0,10.1,,0.86,us,usb000gbf8,2022-07-25T00:00:35.463Z,"252 km ENE of Kuril’sk, Russia",earthquake,,,,,reviewed,us,us,150.788,2.63174707249721,0.806708633564299,2116.60205078125
96,2013-02-08T15:26:38.470Z,-10.928,166.018,21.0,7.1,mww,334.0,16.5,,0.92,us,usc000f40j,2022-07-24T17:41:25.339Z,"32 km SE of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us,166.018,2.897560717575946,-0.19072958065794035,1978.2423095703125
98,2013-02-06T01:23:19.760Z,-11.183,164.882,10.0,7.1,mww,550.0,18.4,,1.19,us,usc000f1se,2022-05-03T16:05:12.368Z,"112 km WSW of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us,164.882,2.8777337772732903,-0.19518017025052586,5192.99365234375
99,2013-02-06T01:12:25.830Z,-10.799,165.114,24.0,8.0,mww,460.0,20.9,,1.29,us,usc000f1s0,2022-07-24T17:28:55.652Z,"75 km W of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us,165.114,2.8817829411379177,-0.18847810592286762,3293.6572265625
100,2013-01-05T08:58:14.957Z,55.228,-134.8591,8.7,7.5,mw,,,,1.51,ak,ak0138esnzr,2022-05-03T16:02:50.203Z,"110 km SW of Edna Bay, Alaska",earthquake,,1.0,,,reviewed,ak,ak,225.1409,3.929449985903301,0.9639104392914283,1698.2049560546875
101,2012-12-10T16:53:08.770Z,-6.533,129.825,155.0,7.1,mww,517.0,8.7,,0.95,us,usp000jwt8,2022-05-03T16:58:48.046Z,Banda Sea,earthquake,,,,,reviewed,us,us,129.825,2.265873701401638,-0.11402236003278955,2844.6904296875
102,2012-12-07T08:18:23.130Z,37.89,143.949,31.0,7.3,mww,918.0,14.8,,0.91,us,usp000jwjn,2022-05-03T16:00:42.625Z,"234 km SE of ?funato, Japan",earthquake,,,,,reviewed,us,us,143.949,2.5123840049533177,0.6613052535806515,6615.2451171875
107,2012-08-31T12:47:33.380Z,10.811,126.638,28.0,7.6,mww,682.0,10.2,,1.02,us,usp000jr83,2022-05-03T15:48:46.699Z,"89 km E of Sulangan, Philippines",earthquake,,,,,reviewed,us,us,126.638,2.2102500581405793,0.18868754543310698,8088.16845703125
108,2012-08-27T04:37:19.430Z,12.139,-88.59,28.0,7.3,mww,417.0,37.0,,1.3,us,usp000jqvm,2022-05-03T15:48:15.643Z,"126 km S of Puerto El Triunfo, El Salvador",earthquake,,,,,reviewed,us,us,271.40999999999997,4.736998122837809,0.21186551789959165,1572.6204833984375
